GEO2010,1970,1980,1990,2000,2010,seqC1,seqC2
06059062641,5,7,5,9,10,4,4
06059062643,6,5,6,6,10,5,4
06059099251,5,1,1,1,1,2,7
06059099305,1,1,1,1,1,1,7
06059099306,1,1,1,1,10,2,7
06059076208,9,9,9,3,4,3,5
06059011601,1,1,10,10,9,3,7
06059011602,1,3,4,4,9,5,2
06059011200,3,3,3,1,6,3,5
06059086602,1,1,1,1,6,2,7
06059001103,1,1,1,1,3,2,7
06059089104,10,4,10,10,10,3,9
06059086902,9,1,3,1,1,5,1
06059110402,1,1,1,1,9,2,7
06059088602,3,3,1,1,7,3,7
06059011722,4,1,1,5,6,5,2
06059042107,5,5,5,1,7,3,4
06059042108,5,5,5,1,6,3,4
06059042109,9,9,5,9,6,5,1
06059042111,5,5,9,9,3,3,1
06059042113,9,9,6,6,7,3,3
06059062701,6,7,6,6,3,5,4
06059062702,6,7,6,6,1,5,4
06059062800,5,5,5,5,1,2,4
06059062900,5,6,6,6,3,3,4
06059063004,5,7,5,7,3,4,4
06059063005,5,5,5,5,1,2,4
06059063006,5,5,5,5,3,2,4
06059063007,6,9,6,6,1,5,4
06059063009,5,5,6,6,1,3,4
06059099309,1,9,6,6,10,5,4
06059099311,1,1,5,5,5,2,1
06059099402,1,1,10,10,5,3,7
06059099404,5,9,9,3,5,5,1
06059086601,1,1,1,4,3,3,7
06059076205,9,9,3,3,3,2,5
06059075812,9,9,9,3,1,3,5
06059011503,1,7,1,3,9,4,1
06059011402,9,6,6,6,9,3,4
06059086304,9,9,1,1,10,3,7
06059011711,1,1,1,1,9,2,7
06059110108,9,9,9,3,3,2,5
06059110006,9,3,6,6,9,5,4
06059075302,3,3,3,4,10,3,5
06059001102,9,3,3,3,3,2,5
06059042114,9,9,6,6,10,3,3
06059042201,5,5,5,6,7,3,4
06059042203,5,5,5,9,9,2,4
06059042205,5,5,9,9,6,3,1
06059063010,5,5,5,5,10,2,4
06059063102,1,1,1,1,3,2,7
06059063103,9,9,6,6,6,2,3
06059063201,1,1,1,1,9,2,7
06059099406,9,9,9,3,9,3,5
06059099407,9,9,9,3,1,3,5
06059099408,9,9,9,3,1,3,5
06059099410,1,1,1,1,9,2,7
06059099411,1,1,1,1,3,2,7
06059021905,5,9,9,9,6,3,1
06059021920,5,9,9,9,9,2,1
06059089107,9,9,3,3,4,3,5
06059086301,9,9,3,3,4,3,5
06059087200,3,3,1,1,3,3,7
06059086501,3,3,4,4,3,3,7
06059086402,9,9,3,3,3,2,5
06059110004,9,9,9,3,9,3,5
06059110012,9,9,6,6,3,3,3
06059110005,9,9,3,3,9,3,5
06059086702,1,1,1,1,3,2,7
06059110104,9,9,9,3,1,3,5
06059063202,1,1,1,6,6,2,7
06059063301,1,1,1,7,9,3,7
06059063302,1,1,1,6,3,3,7
06059063400,6,6,6,6,6,1,3
06059063500,5,5,5,5,6,2,4
06059011504,1,7,1,1,9,5,2
06059011300,7,1,3,1,9,4,1
06059011401,6,3,6,3,9,4,1
06059087405,1,1,10,10,9,3,7
06059087403,1,1,10,4,1,5,7
06059011502,1,1,1,1,9,2,7
06059011403,1,1,1,1,5,2,7
06059075811,9,9,9,3,3,2,5
06059110603,1,1,10,10,9,3,7
06059110116,9,9,9,9,9,1,5
06059110102,9,9,9,3,9,3,5
06059021802,5,9,9,9,5,3,1
06059087701,9,3,3,3,4,3,5
06059087103,9,3,3,3,3,2,5
06059087102,1,1,10,1,3,5,7
06059052420,6,9,9,9,6,3,1
06059052421,1,9,9,9,6,3,1
06059052424,1,5,9,9,7,5,1
06059052502,5,9,9,9,6,3,1
06059063601,9,9,9,9,1,2,5
06059063604,1,1,1,1,3,2,7
06059063605,1,1,1,1,3,2,7
06059063701,1,1,1,10,6,3,7
06059063702,1,1,1,1,6,2,7
06059099412,5,1,9,9,9,3,1
06059099413,5,1,7,1,6,4,1
06059099415,5,9,9,9,9,2,1
06059099416,5,1,1,1,9,3,7
06059076000,7,1,1,1,4,3,7
06059076101,9,9,3,3,10,3,5
06059086306,9,9,9,1,4,3,5
06059076204,1,1,1,4,4,2,7
06059099902,4,9,3,3,9,5,1
06059110203,9,9,9,3,5,3,5
06059087704,9,9,3,3,1,3,5
06059087601,1,1,1,1,4,2,7
06059087504,1,1,10,10,3,3,7
06059052525,1,9,9,9,4,3,1
06059087505,1,1,4,4,6,3,7
06059990100,5,5,5,5,7,2,4
06059980000,1,1,4,4,7,3,7
06059074103,3,3,4,4,4,2,10
06059063802,9,9,6,6,3,3,3
06059063803,9,9,9,9,3,2,5
06059063805,9,9,9,6,9,3,5
06059063806,9,9,6,6,9,3,3
06059063807,1,1,1,1,3,2,7
06059099508,9,1,1,1,1,2,7
06059099511,7,7,7,7,9,2,6
06059099513,9,5,6,6,9,5,4
06059099514,9,5,6,6,3,5,4
06059099601,1,4,4,1,1,3,2
06059086305,9,9,3,3,4,3,5
06059076206,9,3,3,3,4,3,5
06059087404,1,1,10,4,3,5,7
06059086407,5,1,9,1,1,5,4
06059021915,5,9,9,6,9,5,1
06059021821,9,9,9,9,6,2,5
06059076202,9,9,9,3,4,3,5
06059110001,9,9,3,3,9,3,5
06059011709,9,9,9,3,9,3,5
06059110008,9,9,6,6,9,3,3
06059088002,9,3,3,3,3,2,5
06059088801,1,1,1,1,6,2,7
06059074003,5,4,4,4,3,3,10
06059074004,5,1,9,9,4,5,1
06059074111,9,9,9,3,4,3,5
06059074702,3,4,4,4,10,3,10
06059021913,9,9,9,9,9,1,5
06059021914,9,9,9,9,9,1,5
06059021917,9,9,9,6,6,2,5
06059021918,9,9,9,9,9,1,5
06059063808,1,1,1,1,9,2,7
06059063902,9,1,1,1,1,2,7
06059063903,9,9,9,3,1,3,5
06059063904,9,9,9,3,1,3,5
06059063905,9,1,1,1,1,2,7
06059063906,1,1,1,1,1,1,7
06059063907,9,9,1,9,4,5,1
06059099602,9,9,9,3,9,3,5
06059099603,9,9,9,3,9,3,5
06059099604,9,9,9,3,9,3,5
06059099701,9,3,4,3,1,4,1
06059086404,3,9,3,4,4,5,1
06059075813,9,9,9,9,4,2,5
06059021903,5,9,9,9,9,2,1
06059087401,3,3,3,3,6,2,5
06059088702,1,1,4,4,7,3,7
06059089105,10,4,4,4,4,2,10
06059088107,1,1,1,4,1,3,7
06059089102,9,3,9,9,4,5,1
06059087002,9,1,1,1,6,3,7
06059087805,1,1,1,1,6,2,7
06059087101,5,1,5,1,3,4,1
06059099502,7,7,7,5,9,3,6
06059088601,1,1,1,1,7,2,7
06059074005,1,9,4,4,1,5,2
06059074006,1,5,1,1,3,5,2
06059074107,5,1,7,1,1,5,4
06059074200,3,3,4,4,4,2,10
06059074300,3,4,4,4,1,3,10
06059063908,9,1,1,1,3,3,7
06059074102,9,9,4,4,3,3,7
06059074106,1,9,1,1,1,3,2
06059074108,9,4,4,4,3,3,10
06059074109,9,4,4,4,1,3,10
06059074110,9,4,9,9,4,5,1
06059099702,9,9,3,3,9,3,5
06059099703,9,9,9,3,7,3,5
06059099802,1,4,1,1,9,5,2
06059099803,1,4,4,1,9,5,2
06059001404,3,9,3,4,9,4,1
06059011720,4,1,10,4,9,4,2
06059001801,1,10,1,1,9,5,2
06059011712,1,1,1,1,9,2,7
06059089106,9,9,3,1,4,5,1
06059086801,3,9,3,3,1,5,1
06059086802,9,9,1,4,3,5,1
06059110003,9,9,3,3,9,3,5
06059110007,9,9,6,6,1,3,3
06059074403,1,10,10,10,1,3,9
06059074405,1,10,10,10,4,3,9
06059074406,1,10,4,10,4,4,2
06059074407,1,1,1,10,10,2,7
06059074408,1,1,1,10,1,3,7
06059074501,10,10,10,4,4,2,9
06059042206,5,5,9,6,6,3,4
06059042310,5,5,9,9,9,2,1
06059042311,5,9,9,6,9,5,1
06059042312,5,9,9,9,9,2,1
06059074701,4,4,4,4,1,2,10
06059074802,4,4,4,4,1,2,10
06059074803,9,4,4,4,4,2,10
06059074805,10,4,10,4,1,4,2
06059074806,10,4,4,4,1,3,10
06059088802,1,1,9,4,6,5,7
06059075201,4,4,4,4,3,2,10
06059089004,4,9,4,4,3,5,2
06059088502,9,1,3,4,1,4,1
06059088501,1,1,1,4,5,3,7
06059076103,1,1,1,1,4,2,7
