CBSA Code,Metropolitan Division Code,CSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Metropolitan Division Title,CSA Title,County/County Equivalent,State Name,FIPS State Code,FIPS County Code,Central/Outlying County,stcofips
10100,,,"Aberdeen, SD",Micropolitan Statistical Area,,,Brown County,South Dakota,46,013,Central,46013
10100,,,"Aberdeen, SD",Micropolitan Statistical Area,,,Edmunds County,South Dakota,46,045,Outlying,46045
10140,,,"Aberdeen, WA",Micropolitan Statistical Area,,,Grays Harbor County,Washington,53,027,Central,53027
10180,,,"Abilene, TX",Metropolitan Statistical Area,,,Callahan County,Texas,48,059,Outlying,48059
10180,,,"Abilene, TX",Metropolitan Statistical Area,,,Jones County,Texas,48,253,Outlying,48253
10180,,,"Abilene, TX",Metropolitan Statistical Area,,,Taylor County,Texas,48,441,Central,48441
10220,,,"Ada, OK",Micropolitan Statistical Area,,,Pontotoc County,Oklahoma,40,123,Central,40123
10300,,220,"Adrian, MI",Micropolitan Statistical Area,,"Detroit-Warren-Ann Arbor, MI",Lenawee County,Michigan,26,091,Central,26091
10380,,,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,,,Aguada Municipio,Puerto Rico,72,003,Central,72003
10380,,,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,,,Aguadilla Municipio,Puerto Rico,72,005,Central,72005
10380,,,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,,,Añasco Municipio,Puerto Rico,72,011,Central,72011
10380,,,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,,,Isabela Municipio,Puerto Rico,72,071,Central,72071
10380,,,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,,,Lares Municipio,Puerto Rico,72,081,Central,72081
10380,,,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,,,Moca Municipio,Puerto Rico,72,099,Central,72099
10380,,,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,,,Rincón Municipio,Puerto Rico,72,117,Central,72117
