serial,code,description,year1970,year1980,year1990,year2000,year2010,year2012,groupid,web_system,description_short_name,description_full_name,denominator70,denominator80,denominator90,denominator00,denominator10,denominator12
1,popXX,total population,POP70,POP80,POP90,POP00,pop10,pop12_s,1,0,,,,,,,,
2,whiteXX,persons of white race,WHITE70,,,,,,1,0,,percentage of persons of white race,pop70,,,,,
3,nhwhtXX,"persons of black race, not Hispanic origin",WHITE70,NHWHT80,NHWHT90,NHWHT00,nhwht10,nhwht12_s,1,1,"% white, non-Hispanic","percentage of persons of white race, not Hispanic origin", pop70,pop80,pop90,pop00,pop10,pop12_s
4,blackXX,persons of black race,BLACK70,,,,,,1,0,,percentage of persons of black race,pop70,,,,,
5,nhblkXX,"persons of black race, not Hispanic origin",BLACK70,NHBLK80,NHBLK90,NHBLK00,nhblk10,nhblk12_s,1,1,"% black, non-Hispanic","percentage of persons of black race, not Hispanic origin", pop70,pop80,pop90,pop00,pop10,pop12_s
6,hispXX,persons of Hispanic origin,,HISP80,HISP90,HISP00,hisp10,hisp12_s,1,1,"% black, non-Hispanic",percentage of persons of Hispanic origin,,pop80,pop90,pop00,pop10,pop12_s
7,ntvXX,persons of Native American race,,NTV80,NTV90,NTV00,ntv10,ntv12_s,1,1,% Native American race,percentage of persons of Native American race,,pop80,pop90,pop00,pop10,pop12_s
8,asianXX,persons of Asian race (and Pacific Islander),ASIAN70,ASIAN80,ASIAN90,ASIAN00,asian10,asian12_s,1,1,% Asian and Pacific Islander race,percentage of persons of Asian race (and Pacific Islander), pop70,pop80,pop90,pop00,pop10,pop12_s
9,hawXX,persons of Hawaiian race,HAW70,HAW80,HAW90,HAW00,haw10,haw12_s,1,1,% Hawaiian race,percentage of persons of Hawaiian race, pop70,pop80,pop90,pop00,pop10,pop12_s
10,indiaXX,persons of Asian Indian race,INDIA70,INDIA80,INDIA90,INDIA00,india10,india12_s,1,1,% Indian birth/race,percentage of persons of Asian Indian race, pop70,pop80,pop90,pop00,pop10,pop12_s
11,chinaXX,persons of Chinese race,CHINA70,CHINA80,CHINA90,CHINA00,china10,china12_s,1,1,% Chinese birth/race,percentage of persons of Chinese race, pop70,pop80,pop90,pop00,pop10,pop12_s
12,filipXX,persons of Filipino race,FILIP70,FILIP80,FILIP90,FILIP00,filip10,filip12_s,1,1,% Filipino birth/race,percentage of persons of Filipino race, pop70,pop80,pop90,pop00,pop10,pop12_s
13,japanXX,persons of Japanese race,JAPAN70,JAPAN80,JAPAN90,JAPAN00,japan10,japan12_s,1,1,% Japanese birth/race,percentage of persons of Japanese race, pop70,pop80,pop90,pop00,pop10,pop12_s
14,koreaXX,persons of Korean race,KOREA70,KOREA80,KOREA90,KOREA00,korea10,korea12_s,1,1,% Korean birth/race,percentage of persons of Korean race, pop70,pop80,pop90,pop00,pop10,pop12_s
15,vietXX,persons of Vietnamese race,,VIET80,VIET90,VIET00,viet10,viet12_s,1,1,% Vietnamese race,percentage of persons of Vietnamese race,,pop80,pop90,pop00,pop10,pop12_s
16,agewhtXX,white population with known age distribution,AGEWHT70,agewht80_s,AGEWHT90,AGEWHT00,agewht10,agewht12_s,1,0,,,,,,,,
17,a15whtXX,0-15 years old of white race,A15WHT70,a15wht80_s,A15WHT90,A15WHT00,a15wht10,a15wht12_s,1,,"% 15 and under, non-Hispanic white","percentage of 0-15 years old of white race (in 1980, percentage of 0-14 years old of white race; in 2008-12 ACS, percentage of 0-14 years old of white race)",agewht70,agewht80_s,agewht90,agewht00,agewht10,agewht12_s
18,a60whtXX,60 years and older of white race,A60WHT70,a60wht80_s,A60WHT90,A60WHT00,a60wht10,,1,,"% 60 and older, non-Hispanic white",percentage of 60 years and older of white race,agewht70,agewht80_s,agewht90,agewht00,agewht10,
19,a65whtXX,65 years and older of non-Hispanic whites,,,,,a65wht12_s,a65wht12_s,1,0,,percentage of 65 years and older of non-Hispanic whites,,,,,agewht12_s,agewht12_s
20,ageblkXX,black population with known age distribution,AGEBLK70,ageblk80_s,AGEBLK90,AGEBLK00,ageblk10,ageblk12_s,1,0,,,,,,,,
21,a15blkXX,0-15 years old of black race,A15BLK70,a15blk80_s,A15BLK90,A15BLK00,a15blk10,a15blk12_s,1,1,"% 15 and under, non-Hispanic black","percentage of 0-15 years old of black race (in 1980, percentage of 0-14 years old of black race; in 2008-12 ACS, percentage of 0-14 years old of black race)",ageblk70,ageblk80_s,ageblk90,ageblk00,ageblk10,ageblk12_s
22,a60blkXX,60 years and older of black race,A60BLK70,a60blk80_s,A60BLK90,A60BLK00,a60blk10,,1,1,"% 60 and older, non-Hispanic black",percentage of 60 years and older of black race,ageblk70,ageblk80_s,ageblk90,ageblk00,ageblk10,
23,a65blkXX,65 years and older of black race,,,,,a65blk12_s,a65blk12_s,1,0,,percentage of 65 years and older of black race,,,,,ageblk12_s,ageblk12_s
24,agehspXX,Hispanic population with known age distribution,,agehsp80_s,AGEHSP90,AGEHSP00,agehsp10,agehsp12_s,1,0,,,,,,,,
25,a15hspXX,"0-15 years old, persons of Hispanic origins",,A15HSP80_s,A15HSP90,A15HSP00,a15hsp10,a15hsp12_s,1,1,"% 15 and under, Hispanic","percentage of 0-15 years old, persons of Hispanic origins (in 1980, percentage of 0-14 years old, persons of Hispanic origin; in 2008-12 ACS, percentage of 0-14 years old, persons of Hispanic origins)",,"agehsp80_s, ","agehsp90, ","agehsp00, ",agehsp10, gehsp12_s
