seq,code,variable,short_name,full_name
01-Jan,nhwhtXX,p_nonhisp_white_persons,"% white, non-Hispanic","percentage of persons of white race, not Hispanic origin"
02-Jan,nhblkXX,p_nonhisp_black_persons,"% black, non-Hispanic","percentage of persons of black race, not Hispanic origin"
03-Jan,hispXX,p_hispanic_persons,% Hispanic,percentage of persons of Hispanic origin
04-Jan,ntvXX,p_native_persons,% Native American race,percentage of persons of Native American race
05-Jan,asianXX,p_asian_persons,% Asian and Pacific Islander race,percentage of persons of Asian race (and Pacific Islander)
06-Jan,hawXX,p_hawaiian_persons,% Hawaiian race,percentage of persons of Hawaiian race
07-Jan,indiaXX,p_asian_indian_persons,% Indian birth/race,percentage of persons of Asian Indian race
08-Jan,chinaXX,p_chinese_persons,% Chinese birth/race,percentage of persons of Chinese race
09-Jan,filipXX,p_filipino_persons,% Filipino birth/race,percentage of persons of Filipino race
10-Jan,japanXX,p_japanese_persons,% Japanese birth/race,percentage of persons of Japanese race
11-Jan,koreaXX,p_korean_persons,% Korean birth/race,percentage of persons of Korean race
12-Jan,vietXX,p_vietnamese_persons,% Vietnamese race,percentage of persons of Vietnamese race
13-Jan,a15blkXX,p_black_under_15,"% 15 and under, non-Hispanic black",percentage of 0-15 years old of black race
14-Jan,a60blkXX,p_black_over_60,"% 60 and older, non-Hispanic black",percentage of 60 years and older of black race
15-Jan,a15hspXX,p_hispanic_under_15,"% 15 and under, Hispanic","percentage of 0-15 years old, persons of Hispanic origins"
16-Jan,a60hspXX,p_hispanic_over_60,"% 60 and older, Hispanic","percentage of 60 years and older, persons of Hispanic origins"
17-Jan,a15ntvXX,p_native_under_15,"% 15 and under, Native American",percentage of 0-15 years old of Native American race
18-Jan,a60ntvXX,p_native_over_60,"% 60 and older, Native American",percentage of 60 years and older of Native American race
19-Jan,a15asnXX,p_asian_under_15,"% 15 and under, Asian/  Pacific Islanders",percentage of 0-15 years old of Asians and Pacific Islanders
20-Jan,a60asnXX,p_asian_over_60,"% 60 and older, Asian/  Pacific Islanders",percentage of 60 years and older of Asians and Pacific Islanders
01-Feb,mexXX,p_mexican_pop,% Mexican birth/ethnicity,percentage of persons of Mexican parentage or ancestry
02-Feb,cubanXX,p_cuban_pop,% Cuban birth/ethnicity,percentage of persons of Cuban parentage or ancestry
03-Feb,prXX,p_puerto_rican_pop,% Puerto Rican birth/ethnicity,percentage of persons of Puerto Rican parentage or ancestry
04-Feb,ruancXX,p_russian_pop,% Russian/USSR parentage/ancestry,percentage of persons of Russian/USSR parentage or ancestry
05-Feb,itancXX,p_italian_pop,% Italian parentage/ancestry,percentage of persons of Italian parentage or ancestry
06-Feb,geancXX,p_german_pop,% German parentage/ancestry,percentage of persons of German parentage or ancestry
